RECTYPE,LEA,ESTAB,URN,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE,PTAC5EM_PTQ_EE
1,211,4284,137789,0,ACC,144,54.5,0.70,0.50,0.90,66%,37%,83%,76%
1,211,4298,133289,0,VA,113,49.5,-0.28,-0.48,-0.08,18%,13%,65%,54%
1,211,4726,100978,0,VA,125,53.5,0.03,-0.16,0.23,39%,26%,76%,62%
1,211,4024,100965,0,CY,103,49.8,0.18,-0.03,0.40,42%,23%,64%,54%
1,211,4507,100975,0,VA,230,53.8,0.41,0.27,0.56,38%,25%,63%,60%
1,211,6006,139601,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,6389,131745,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,6398,136129,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,4505,100974,0,VC,179,50.0,0.32,0.16,0.49,28%,17%,54%,48%
1,211,6387,131388,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,4105,100966,0,CY,165,49.4,0.04,-0.13,0.20,12%,7%,55%,52%
1,211,6394,134810,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,4001,141133,0,F,,,,,,,,,
1,211,6390,132797,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,6383,100982,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,6391,133307,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,4150,100967,0,CY,228,51.3,0.14,0.00,0.28,33%,23%,69%,60%
1,211,4242,100968,0,CY,209,54.8,0.30,0.15,0.45,80%,52%,69%,66%
1,211,4296,100972,0,CY,116,50.9,0.29,0.09,0.48,50%,37%,66%,57%
1,211,5400,100979,0,VA,124,40.7,-0.86,-1.04,-0.67,27%,16%,35%,30%
1,211,6385,100303,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,4277,100970,0,FD,192,51.8,0.40,0.24,0.56,60%,37%,68%,59%
1,211,4722,100977,0,VA,195,53.7,0.28,0.13,0.43,73%,45%,70%,63%
1,211,4276,100969,0,CY,168,51.8,0.12,-0.04,0.29,89%,30%,68%,65%
1,211,4297,100973,0,CY,198,50.0,0.38,0.22,0.54,41%,24%,61%,59%
1,211,8066,130418,0,FESI,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,211,4000,138202,0,F,,,,,,,,,
2,211,7168,100989,0,CYS,7,NE,SUPP,SUPP,SUPP,NE,NE,NE,NE
2,211,7084,100986,0,CYS,9,10.3,-2.47,-3.20,-1.73,0%,0%,0%,0%
2,211,7171,131598,0,CYS,9,3.2,-2.73,-3.43,-2.04,0%,0%,0%,0%
2,211,7095,100987,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
4,211,,,,,2571,50.0,0.15,0.11,0.19,46.1%,27.5%,62.9%,56.6%
1,212,6396,101090,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,212,4000,138267,0,F,,,,,,,,,
1,212,5402,138681,0,ACC,58,48.6,0.01,-0.28,0.31,55%,29%,71%,66%
1,212,6905,135316,0,AC,206,58.4,0.48,0.33,0.63,88%,53%,81%,75%
1,212,5401,139842,0,ACC,267,52.0,0.16,0.03,0.29,87%,32%,69%,62%
1,212,4328,136883,0,ACC,155,51.7,0.01,-0.16,0.18,38%,25%,66%,65%
1,212,6292,101071,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,212,4297,101053,0,CY,166,49.8,0.02,-0.15,0.19,55%,33%,58%,46%
1,212,5400,137005,0,ACC,250,61.3,0.33,0.19,0.46,70%,53%,87%,84%
1,212,6390,101086,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,212,4001,140985,0,AC,136,55.5,1.15,0.93,1.36,65%,38%,75%,73%
1,212,6040,101064,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,212,6310,101072,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,212,4734,141808,0,ACC,139,56.1,0.06,-0.13,0.24,36%,29%,79%,64%
1,212,4008,135762,0,VA,73,48.0,-0.30,-0.58,-0.01,34%,19%,48%,47%
